4 10 13 19 20 27 30 36:1.622684:0.046457 0.477387 0.18438 0.047063 0.315625 0.189205 0.326739 0.035828
2 6 12 18 20 25 29 35:2.451122:0.162598 1.0 0.204313 0.070594 0.315625 0.271469 0.366491 0.060032
5 10 12 16 20 25 28 36:2.237266:0.023228 0.477387 0.204313 0.258846 0.315625 0.271469 0.65057 0.035828
2 6 12 17 21 23 29 33:2.920136:0.162598 1.0 0.204313 0.091511 0.055962 0.666332 0.366491 0.372929
1 9 11 19 22 26 32 37:1.816732:0.394881 0.547739 0.303978 0.047063 0.027235 0.222111 0.251114 0.022611
4 8 14 16 20 25 28 33:2.713467:0.046457 0.628141 0.16943 0.258846 0.315625 0.271469 0.65057 0.372929
3 6 11 18 21 24 30 34:2.300892:0.092913 1.0 0.303978 0.070594 0.055962 0.353732 0.326739 0.096974
5 8 11 16 20 25 31 33:2.466051:0.023228 0.628141 0.303978 0.258846 0.315625 0.271469 0.291835 0.372929
3 10 13 19 22 27 30 33:1.717851:0.092913 0.477387 0.18438 0.047063 0.027235 0.189205 0.326739 0.372929
5 9 15 16 20 27 28 34:2.231684:0.023228 0.547739 0.149497 0.258846 0.315625 0.189205 0.65057 0.096974
4 8 15 16 20 25 31 33:2.334799:0.046457 0.628141 0.149497 0.258846 0.315625 0.271469 0.291835 0.372929
5 10 14 16 20 26 32 36:1.753569:0.023228 0.477387 0.16943 0.258846 0.315625 0.222111 0.251114 0.035828
5 9 14 16 20 27 29 37:1.893175:0.023228 0.547739 0.16943 0.258846 0.315625 0.189205 0.366491 0.022611
2 10 12 17 27 30 35:1.511785:0.162598 0.477387 0.204313 0.091511 0.189205 0.326739 0.060032
4 10 13 17 22 27 28 36:1.702573:0.046457 0.477387 0.18438 0.091511 0.027235 0.189205 0.65057 0.035828
5 7 11 16 20 25 29 36:2.314158:0.023228 0.738693 0.303978 0.258846 0.315625 0.271469 0.366491 0.035828
1 8 15 19 22 25 32 36:1.805228:0.394881 0.628141 0.149497 0.047063 0.027235 0.271469 0.251114 0.035828
5 7 14 16 20 25 29 34:2.240756:0.023228 0.738693 0.16943 0.258846 0.315625 0.271469 0.366491 0.096974
2 7 11 19 21 26 32 33:2.154448:0.162598 0.738693 0.303978 0.047063 0.055962 0.222111 0.251114 0.372929
2 8 13 18 21 25 31 36:1.700807:0.162598 0.628141 0.18438 0.070594 0.055962 0.271469 0.291835 0.035828
3 9 15 19 22 25 32 37:1.409641:0.092913 0.547739 0.149497 0.047063 0.027235 0.271469 0.251114 0.022611
5 7 15 16 20 27 31 35:2.026961:0.023228 0.738693 0.149497 0.258846 0.315625 0.189205 0.291835 0.060032
5 10 15 16 20 26 32 35:1.75784:0.023228 0.477387 0.149497 0.258846 0.315625 0.222111 0.251114 0.060032
5 8 14 19 20 25 29 34:1.918421:0.023228 0.628141 0.16943 0.047063 0.315625 0.271469 0.366491 0.096974
5 9 15 18 21 27 31 34:1.425034:0.023228 0.547739 0.149497 0.070594 0.055962 0.189205 0.291835 0.096974
5 9 13 17 21 26 30 33:1.824599:0.023228 0.547739 0.18438 0.091511 0.055962 0.222111 0.326739 0.372929
5 10 14 16 20 27 32 34:1.781809:0.023228 0.477387 0.16943 0.258846 0.315625 0.189205 0.251114 0.096974
2 7 12 16 21 23 28 36:2.773142:0.162598 0.738693 0.204313 0.258846 0.055962 0.666332 0.65057 0.035828
5 9 15 17 21 27 28 34:1.804686:0.023228 0.547739 0.149497 0.091511 0.055962 0.189205 0.65057 0.096974
4 8 15 16 20 26 31 35:1.972544:0.046457 0.628141 0.149497 0.258846 0.315625 0.222111 0.291835 0.060032
4 8 14 17 20 27 31 36:1.768032:0.046457 0.628141 0.16943 0.091511 0.315625 0.189205 0.291835 0.035828
3 10 14 19 22 25 30 37:1.434847:0.092913 0.477387 0.16943 0.047063 0.027235 0.271469 0.326739 0.022611
3 6 11 16 20 23 28 34:3.385238:0.092913 1.0 0.303978 0.258846 0.315625 0.666332 0.65057 0.096974
4 6 15 16 20 25 28 33:3.065393:0.046457 1.0 0.149497 0.258846 0.315625 0.271469 0.65057 0.372929
5 8 14 18 20 27 29 36:1.798542:0.023228 0.628141 0.16943 0.070594 0.315625 0.189205 0.366491 0.035828
4 7 12 18 22 26 28 37:1.982584:0.046457 0.738693 0.204313 0.070594 0.027235 0.222111 0.65057 0.022611
5 9 14 16 20 26 30 35:1.92375:0.023228 0.547739 0.16943 0.258846 0.315625 0.222111 0.326739 0.060032
5 7 14 19 20 27 30 36:1.845811:0.023228 0.738693 0.16943 0.047063 0.315625 0.189205 0.326739 0.035828
3 6 13 19 20 25 32 36:2.198392:0.092913 1.0 0.18438 0.047063 0.315625 0.271469 0.251114 0.035828
4 8 13 19 22 27 31 37:1.436927:0.046457 0.628141 0.18438 0.047063 0.027235 0.189205 0.291835 0.022611
3 10 12 17 20 24 31 34:1.92429:0.092913 0.477387 0.204313 0.091511 0.315625 0.353732 0.291835 0.096974
5 9 15 16 20 26 32 37:1.790771:0.023228 0.547739 0.149497 0.258846 0.315625 0.222111 0.251114 0.022611
5 7 15 17 20 27 28 34:2.255303:0.023228 0.738693 0.149497 0.091511 0.315625 0.189205 0.65057 0.096974
5 10 15 17 22 27 32 37:1.231788:0.023228 0.477387 0.149497 0.091511 0.027235 0.189205 0.251114 0.022611
5 10 12 16 20 26 29 34:1.964975:0.023228 0.477387 0.204313 0.258846 0.315625 0.222111 0.366491 0.096974
1 10 12 19 20 24 32 37:2.066726:0.394881 0.477387 0.204313 0.047063 0.315625 0.353732 0.251114 0.022611
2 9 11 16 20 25 29 36:2.262574:0.162598 0.547739 0.303978 0.258846 0.315625 0.271469 0.366491 0.035828
3 6 13 18 20 23 29 36:2.732163:0.092913 1.0 0.18438 0.070594 0.315625 0.666332 0.366491 0.035828
5 7 12 18 20 25 32 35:1.935068:0.023228 0.738693 0.204313 0.070594 0.315625 0.271469 0.251114 0.060032
5 7 11 16 20 24 28 35:2.704704:0.023228 0.738693 0.303978 0.258846 0.315625 0.353732 0.65057 0.060032
2 7 14 16 21 23 28 36:2.738259:0.162598 0.738693 0.16943 0.258846 0.055962 0.666332 0.65057 0.035828
